,ts,deepgini_cam,lsc_index_-1_cam,lsc_index_-1_ctm,nac_t_0.75_cam,nac_t_0.75_ctm,nac_t_0_cam,nac_t_0_ctm,nbc_std_0.5_cam,nbc_std_0.5_ctm,nbc_std_0_cam,nbc_std_0_ctm,nbc_std_1_cam,nbc_std_1_ctm,random_random,snac_std_0.5_cam,snac_std_0.5_ctm,snac_std_0_cam,snac_std_0_ctm,snac_std_1_cam,snac_std_1_ctm,tknc_k_1_cam,tknc_k_2_cam,tknc_k_3_cam
0,0,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258,0.000750000006519258
1,1,0.5671250224113464,0.5263749957084656,0.4930000007152557,0.5377500057220459,0.5009999871253967,0.5397499799728394,0.456499993801117,0.5401250123977661,0.4889999926090241,0.5701249837875366,0.492374986410141,0.5525000095367432,0.495624989271164,0.6004999876022339,0.5396249890327454,0.4883750081062317,0.5667499899864197,0.4903750121593475,0.5542500019073486,0.4964999854564667,0.5567499995231628,0.5261250138282776,0.5331249833106995
2,2,0.6370000243186951,0.5641250014305115,0.5711249709129333,0.5523750185966492,0.5507500171661377,0.5619999766349792,0.5427500009536743,0.5698750019073486,0.5512499809265137,0.5531250238418579,0.5422499775886536,0.5516250133514404,0.5509999990463257,0.640625,0.5612499713897705,0.5509999990463257,0.5588750243186951,0.5442500114440918,0.5513749718666077,0.5432500243186951,0.5616250038146973,0.5582500100135803,0.5686249732971191
3,3,0.7129999995231628,0.5723749995231628,0.6542500257492065,0.575124979019165,0.5422499775886536,0.5747500061988831,0.5582500100135803,0.5787500143051147,0.5721250176429749,0.5708749890327454,0.5496249794960022,0.5756250023841858,0.5534999966621399,0.6740000247955322,0.5684999823570251,0.5584999918937683,0.5692499876022339,0.5450000166893005,0.5742499828338623,0.5709999799728394,0.5726249814033508,0.5787500143051147,0.575124979019165
4,4,0.7611250281333923,0.628250002861023,0.7258750200271606,0.6268749833106995,0.5431249737739563,0.6158750057220459,0.5637500286102295,0.6165000200271606,0.581125020980835,0.6266250014305115,0.5607500076293945,0.6222500205039978,0.5772500038146973,0.7067499756813049,0.6171249747276306,0.5801249742507935,0.6208750009536743,0.5773749947547913,0.6156250238418579,0.5853750109672546,0.6172500252723694,0.6392499804496765,0.621999979019165
5,5,0.8212500214576721,0.659375011920929,0.8062499761581421,0.6359999775886536,0.6047499775886536,0.6432499885559082,0.5709999799728394,0.6495000123977661,0.6326249837875366,0.640874981880188,0.6361250281333923,0.6198750138282776,0.6221250295639038,0.7243750095367432,0.6200000047683716,0.6430000066757202,0.6209999918937683,0.6486250162124634,0.628125011920929,0.6353750228881836,0.6453750133514404,0.6488749980926514,0.6614999771118164
6,6,0.8696249723434448,0.6823750138282776,0.8500000238418579,0.6391249895095825,0.6006249785423279,0.640749990940094,0.6006249785423279,0.6330000162124634,0.6952499747276306,0.6428750157356262,0.6647499799728394,0.6311249732971191,0.6617500185966492,0.7456250190734863,0.643750011920929,0.6710000038146973,0.6821249723434448,0.6773750185966492,0.6290000081062317,0.6603749990463257,0.6358749866485596,0.6471250057220459,0.6825000047683716
7,7,0.9067500233650208,0.6884999871253967,0.8924999833106995,0.6586250066757202,0.6607499718666077,0.671625018119812,0.6431249976158142,0.6539999842643738,0.703374981880188,0.6654999852180481,0.6808750033378601,0.6673750281333923,0.6816250085830688,0.7741249799728394,0.6706249713897705,0.6815000176429749,0.6940000057220459,0.6822500228881836,0.671999990940094,0.6826249957084656,0.671875,0.6887500286102295,0.7156249880790709
8,8,0.92849999666214,0.7362499833106995,0.9291250109672546,0.7108749747276306,0.6524999737739563,0.7151250243186951,0.6642500162124634,0.706375002861023,0.7501249909400941,0.703000009059906,0.6953750252723694,0.7168750166893005,0.6793749928474426,0.7918750047683716,0.7017499804496765,0.6996250152587891,0.7124999761581421,0.7208750247955322,0.7167500257492065,0.6815000176429749,0.7206249833106995,0.7260000109672546,0.7361249923706055
9,9,0.9547500014305116,0.7368749976158142,0.9573749899864196,0.7748749852180481,0.6636250019073486,0.7206249833106995,0.6866250038146973,0.7584999799728394,0.7258750200271606,0.7301250100135803,0.7156249880790709,0.7099999785423279,0.6977499723434448,0.8034999966621399,0.7475000023841858,0.7204999923706055,0.7361249923706055,0.7327499985694885,0.7418749928474426,0.7212499976158142,0.7361249923706055,0.7655000090599059,0.7837499976158142
10,10,0.9686250090599059,0.7369999885559082,0.9733750224113464,0.7436249852180481,0.672249972820282,0.7377499938011169,0.6941249966621399,0.7483749985694885,0.7707499861717224,0.7526249885559082,0.7482500076293945,0.7378749847412109,0.7273749709129333,0.8238750100135803,0.7513750195503235,0.7753750085830688,0.7607499957084656,0.7488750219345093,0.7419999837875366,0.7411249876022339,0.7916250228881836,0.8057500123977661,0.7911249995231628
